"label","n","parent","id"
"Belgium",11,"total  -  Sport","total  -  Sport  -  Belgium"
"Belgium",63,"total  -  Thriller","total  -  Thriller  -  Belgium"
"Belgium",4,"total  -  War","total  -  War  -  Belgium"
"Belgium",4,"total  -  Western","total  -  Western  -  Belgium"
"Bolivia",163,"total  -  Action","total  -  Action  -  Bolivia"
"Bolivia",2,"total  -  Adult","total  -  Adult  -  Bolivia"
"Bolivia",136,"total  -  Adventure","total  -  Adventure  -  Bolivia"
"Bolivia",94,"total  -  Animation","total  -  Animation  -  Bolivia"
"Bolivia",1,"total  -  Biography","total  -  Biography  -  Bolivia"
"Bolivia",212,"total  -  Comedy","total  -  Comedy  -  Bolivia"
"Bolivia",89,"total  -  Crime","total  -  Crime  -  Bolivia"
"Bolivia",17,"total  -  Documentary","total  -  Documentary  -  Bolivia"
"Bolivia",275,"total  -  Drama","total  -  Drama  -  Bolivia"
"Bolivia",14,"total  -  Family","total  -  Family  -  Bolivia"
"Bolivia",29,"total  -  Fantasy","total  -  Fantasy  -  Bolivia"
"Bolivia",2,"total  -  Film Noir","total  -  Film Noir  -  Bolivia"
"Bolivia",29,"total  -  Horror","total  -  Horror  -  Bolivia"
"Bolivia",19,"total  -  Music","total  -  Music  -  Bolivia"
"Bolivia",47,"total  -  Mystery","total  -  Mystery  -  Bolivia"
"Bolivia",3,"total  -  Reality TV","total  -  Reality TV  -  Bolivia"
"Bolivia",112,"total  -  Romance","total  -  Romance  -  Bolivia"
"Bolivia",24,"total  -  Sci Fi","total  -  Sci Fi  -  Bolivia"
"Bolivia",5,"total  -  Sport","total  -  Sport  -  Bolivia"
"Bolivia",53,"total  -  Thriller","total  -  Thriller  -  Bolivia"
"Bolivia",2,"total  -  War","total  -  War  -  Bolivia"
"Bolivia",6,"total  -  Western","total  -  Western  -  Bolivia"
"Brazil",164,"total  -  Action","total  -  Action  -  Brazil"
"Brazil",1,"total  -  Adult","total  -  Adult  -  Brazil"
"Brazil",183,"total  -  Adventure","total  -  Adventure  -  Brazil"
"Brazil",69,"total  -  Animation","total  -  Animation  -  Brazil"
"Brazil",6,"total  -  Biography","total  -  Biography  -  Brazil"
"Brazil",218,"total  -  Comedy","total  -  Comedy  -  Brazil"
"Brazil",118,"total  -  Crime","total  -  Crime  -  Brazil"
"Brazil",19,"total  -  Documentary","total  -  Documentary  -  Brazil"
"Brazil",322,"total  -  Drama","total  -  Drama  -  Brazil"
"Brazil",101,"total  -  Family","total  -  Family  -  Brazil"
"Brazil",30,"total  -  Fantasy","total  -  Fantasy  -  Brazil"
"Brazil",3,"total  -  Film Noir","total  -  Film Noir  -  Brazil"
"Brazil",4,"total  -  Game Show","total  -  Game Show  -  Brazil"
"Brazil",31,"total  -  Horror","total  -  Horror  -  Brazil"
"Brazil",15,"total  -  Music","total  -  Music  -  Brazil"
"Brazil",22,"total  -  Musical","total  -  Musical  -  Brazil"
"Brazil",54,"total  -  Mystery","total  -  Mystery  -  Brazil"
"Brazil",11,"total  -  Reality TV","total  -  Reality TV  -  Brazil"
"Brazil",122,"total  -  Romance","total  -  Romance  -  Brazil"
"Brazil",23,"total  -  Sci Fi","total  -  Sci Fi  -  Brazil"
"Brazil",6,"total  -  Sport","total  -  Sport  -  Brazil"
"Brazil",69,"total  -  Thriller","total  -  Thriller  -  Brazil"
"Brazil",2,"total  -  War","total  -  War  -  Brazil"
"Brazil",5,"total  -  Western","total  -  Western  -  Brazil"
"Bulgaria",228,"total  -  Action","total  -  Action  -  Bulgaria"
"Bulgaria",132,"total  -  Adventure","total  -  Adventure  -  Bulgaria"
"Bulgaria",52,"total  -  Animation","total  -  Animation  -  Bulgaria"
"Bulgaria",10,"total  -  Biography","total  -  Biography  -  Bulgaria"
"Bulgaria",182,"total  -  Comedy","total  -  Comedy  -  Bulgaria"
"Bulgaria",131,"total  -  Crime","total  -  Crime  -  Bulgaria"
"Bulgaria",30,"total  -  Documentary","total  -  Documentary  -  Bulgaria"
"Bulgaria",309,"total  -  Drama","total  -  Drama  -  Bulgaria"
"Bulgaria",23,"total  -  Family","total  -  Family  -  Bulgaria"
"Bulgaria",39,"total  -  Fantasy","total  -  Fantasy  -  Bulgaria"
"Bulgaria",4,"total  -  Film Noir","total  -  Film Noir  -  Bulgaria"
"Bulgaria",14,"total  -  Game Show","total  -  Game Show  -  Bulgaria"
"Bulgaria",2,"total  -  History","total  -  History  -  Bulgaria"
"Bulgaria",28,"total  -  Horror","total  -  Horror  -  Bulgaria"
"Bulgaria",4,"total  -  Music","total  -  Music  -  Bulgaria"
"Bulgaria",48,"total  -  Mystery","total  -  Mystery  -  Bulgaria"
"Bulgaria",18,"total  -  Reality TV","total  -  Reality TV  -  Bulgaria"
"Bulgaria",101,"total  -  Romance","total  -  Romance  -  Bulgaria"
"Bulgaria",39,"total  -  Sci Fi","total  -  Sci Fi  -  Bulgaria"
"Bulgaria",11,"total  -  Sport","total  -  Sport  -  Bulgaria"
"Bulgaria",59,"total  -  Thriller","total  -  Thriller  -  Bulgaria"
"Bulgaria",3,"total  -  War","total  -  War  -  Bulgaria"
"Bulgaria",6,"total  -  Western","total  -  Western  -  Bulgaria"
"Canada",178,"total  -  Action","total  -  Action  -  Canada"
"Canada",109,"total  -  Adventure","total  -  Adventure  -  Canada"
"Canada",52,"total  -  Animation","total  -  Animation  -  Canada"
"Canada",20,"total  -  Biography","total  -  Biography  -  Canada"
"Canada",178,"total  -  Comedy","total  -  Comedy  -  Canada"
"Canada",146,"total  -  Crime","total  -  Crime  -  Canada"
