"label","n","parent","id"
"Czech Republic",3,"Western","Western  -  Czech Republic"
"Denmark",200,"Action","Action  -  Denmark"
"Denmark",125,"Adventure","Adventure  -  Denmark"
"Denmark",57,"Animation","Animation  -  Denmark"
"Denmark",15,"Biography","Biography  -  Denmark"
"Denmark",182,"Comedy","Comedy  -  Denmark"
"Denmark",157,"Crime","Crime  -  Denmark"
"Denmark",26,"Documentary","Documentary  -  Denmark"
"Denmark",318,"Drama","Drama  -  Denmark"
"Denmark",22,"Family","Family  -  Denmark"
"Denmark",42,"Fantasy","Fantasy  -  Denmark"
"Denmark",3,"Film Noir","Film Noir  -  Denmark"
"Denmark",17,"Game Show","Game Show  -  Denmark"
"Denmark",5,"History","History  -  Denmark"
"Denmark",23,"Horror","Horror  -  Denmark"
"Denmark",2,"Music","Music  -  Denmark"
"Denmark",1,"Musical","Musical  -  Denmark"
"Denmark",56,"Mystery","Mystery  -  Denmark"
"Denmark",31,"Reality TV","Reality TV  -  Denmark"
"Denmark",88,"Romance","Romance  -  Denmark"
"Denmark",22,"Sci Fi","Sci Fi  -  Denmark"
"Denmark",10,"Sport","Sport  -  Denmark"
"Denmark",61,"Thriller","Thriller  -  Denmark"
"Denmark",10,"War","War  -  Denmark"
"Denmark",10,"Western","Western  -  Denmark"
"Dominican Republic",178,"Action","Action  -  Dominican Republic"
"Dominican Republic",110,"Adventure","Adventure  -  Dominican Republic"
"Dominican Republic",50,"Animation","Animation  -  Dominican Republic"
"Dominican Republic",3,"Biography","Biography  -  Dominican Republic"
"Dominican Republic",152,"Comedy","Comedy  -  Dominican Republic"
"Dominican Republic",116,"Crime","Crime  -  Dominican Republic"
"Dominican Republic",17,"Documentary","Documentary  -  Dominican Republic"
"Dominican Republic",281,"Drama","Drama  -  Dominican Republic"
"Dominican Republic",19,"Family","Family  -  Dominican Republic"
"Dominican Republic",36,"Fantasy","Fantasy  -  Dominican Republic"
"Dominican Republic",2,"Film Noir","Film Noir  -  Dominican Republic"
"Dominican Republic",2,"Game Show","Game Show  -  Dominican Republic"
"Dominican Republic",30,"Horror","Horror  -  Dominican Republic"
"Dominican Republic",32,"Music","Music  -  Dominican Republic"
"Dominican Republic",49,"Mystery","Mystery  -  Dominican Republic"
"Dominican Republic",3,"Reality TV","Reality TV  -  Dominican Republic"
"Dominican Republic",85,"Romance","Romance  -  Dominican Republic"
"Dominican Republic",23,"Sci Fi","Sci Fi  -  Dominican Republic"
"Dominican Republic",7,"Sport","Sport  -  Dominican Republic"
"Dominican Republic",76,"Thriller","Thriller  -  Dominican Republic"
"Dominican Republic",4,"War","War  -  Dominican Republic"
"Dominican Republic",4,"Western","Western  -  Dominican Republic"
"Ecuador",153,"Action","Action  -  Ecuador"
"Ecuador",119,"Adventure","Adventure  -  Ecuador"
"Ecuador",67,"Animation","Animation  -  Ecuador"
"Ecuador",1,"Biography","Biography  -  Ecuador"
"Ecuador",192,"Comedy","Comedy  -  Ecuador"
"Ecuador",90,"Crime","Crime  -  Ecuador"
"Ecuador",16,"Documentary","Documentary  -  Ecuador"
"Ecuador",277,"Drama","Drama  -  Ecuador"
"Ecuador",13,"Family","Family  -  Ecuador"
"Ecuador",26,"Fantasy","Fantasy  -  Ecuador"
"Ecuador",2,"Film Noir","Film Noir  -  Ecuador"
"Ecuador",28,"Horror","Horror  -  Ecuador"
"Ecuador",31,"Music","Music  -  Ecuador"
"Ecuador",41,"Mystery","Mystery  -  Ecuador"
"Ecuador",3,"Reality TV","Reality TV  -  Ecuador"
"Ecuador",104,"Romance","Romance  -  Ecuador"
"Ecuador",22,"Sci Fi","Sci Fi  -  Ecuador"
"Ecuador",7,"Sport","Sport  -  Ecuador"
"Ecuador",64,"Thriller","Thriller  -  Ecuador"
"Ecuador",2,"War","War  -  Ecuador"
"Ecuador",5,"Western","Western  -  Ecuador"
"Egypt",204,"Action","Action  -  Egypt"
"Egypt",107,"Adventure","Adventure  -  Egypt"
"Egypt",36,"Animation","Animation  -  Egypt"
"Egypt",11,"Biography","Biography  -  Egypt"
"Egypt",176,"Comedy","Comedy  -  Egypt"
"Egypt",130,"Crime","Crime  -  Egypt"
"Egypt",17,"Documentary","Documentary  -  Egypt"
"Egypt",338,"Drama","Drama  -  Egypt"
"Egypt",16,"Family","Family  -  Egypt"
"Egypt",36,"Fantasy","Fantasy  -  Egypt"
"Egypt",4,"Film Noir","Film Noir  -  Egypt"
"Egypt",7,"Game Show","Game Show  -  Egypt"
"Egypt",5,"History","History  -  Egypt"
"Egypt",31,"Horror","Horror  -  Egypt"
"Egypt",1,"Music","Music  -  Egypt"
"Egypt",49,"Mystery","Mystery  -  Egypt"
"Egypt",9,"Reality TV","Reality TV  -  Egypt"
"Egypt",105,"Romance","Romance  -  Egypt"
"Egypt",28,"Sci Fi","Sci Fi  -  Egypt"
"Egypt",3,"Sport","Sport  -  Egypt"
"Egypt",73,"Thriller","Thriller  -  Egypt"
"Egypt",3,"War","War  -  Egypt"
"Egypt",3,"Western","Western  -  Egypt"
"El Salvador",142,"Action","Action  -  El Salvador"
"El Salvador",103,"Adventure","Adventure  -  El Salvador"
"El Salvador",62,"Animation","Animation  -  El Salvador"
"El Salvador",1,"Biography","Biography  -  El Salvador"
"El Salvador",186,"Comedy","Comedy  -  El Salvador"
"El Salvador",106,"Crime","Crime  -  El Salvador"
"El Salvador",15,"Documentary","Documentary  -  El Salvador"
"El Salvador",293,"Drama","Drama  -  El Salvador"
"El Salvador",14,"Family","Family  -  El Salvador"
"El Salvador",26,"Fantasy","Fantasy  -  El Salvador"
"El Salvador",2,"Film Noir","Film Noir  -  El Salvador"
"El Salvador",25,"Horror","Horror  -  El Salvador"
"El Salvador",30,"Music","Music  -  El Salvador"
"El Salvador",43,"Mystery","Mystery  -  El Salvador"
"El Salvador",2,"Reality TV","Reality TV  -  El Salvador"
"El Salvador",110,"Romance","Romance  -  El Salvador"
"El Salvador",21,"Sci Fi","Sci Fi  -  El Salvador"
"El Salvador",8,"Sport","Sport  -  El Salvador"
"El Salvador",63,"Thriller","Thriller  -  El Salvador"
"El Salvador",2,"War","War  -  El Salvador"
"El Salvador",5,"Western","Western  -  El Salvador"
