"parents","n","labels","id"
"Croatia",28,"Fantasy","Croatia  -  Fantasy"
"Croatia",5,"Film Noir","Croatia  -  Film Noir"
"Croatia",15,"Game Show","Croatia  -  Game Show"
"Croatia",5,"History","Croatia  -  History"
"Croatia",23,"Horror","Croatia  -  Horror"
"Croatia",5,"Music","Croatia  -  Music"
"Croatia",51,"Mystery","Croatia  -  Mystery"
"Croatia",19,"Reality TV","Croatia  -  Reality TV"
"Croatia",100,"Romance","Croatia  -  Romance"
"Croatia",17,"Sci Fi","Croatia  -  Sci Fi"
"Croatia",14,"Sport","Croatia  -  Sport"
"Croatia",64,"Thriller","Croatia  -  Thriller"
"Croatia",4,"War","Croatia  -  War"
"Croatia",6,"Western","Croatia  -  Western"
"Cyprus",215,"Action","Cyprus  -  Action"
"Cyprus",134,"Adventure","Cyprus  -  Adventure"
"Cyprus",46,"Animation","Cyprus  -  Animation"
"Cyprus",7,"Biography","Cyprus  -  Biography"
"Cyprus",186,"Comedy","Cyprus  -  Comedy"
"Cyprus",140,"Crime","Cyprus  -  Crime"
"Cyprus",22,"Documentary","Cyprus  -  Documentary"
"Cyprus",339,"Drama","Cyprus  -  Drama"
"Cyprus",27,"Family","Cyprus  -  Family"
"Cyprus",28,"Fantasy","Cyprus  -  Fantasy"
"Cyprus",3,"Film Noir","Cyprus  -  Film Noir"
"Cyprus",11,"Game Show","Cyprus  -  Game Show"
"Cyprus",2,"History","Cyprus  -  History"
"Cyprus",21,"Horror","Cyprus  -  Horror"
"Cyprus",2,"Music","Cyprus  -  Music"
"Cyprus",52,"Mystery","Cyprus  -  Mystery"
"Cyprus",15,"Reality TV","Cyprus  -  Reality TV"
"Cyprus",92,"Romance","Cyprus  -  Romance"
"Cyprus",48,"Sci Fi","Cyprus  -  Sci Fi"
"Cyprus",10,"Sport","Cyprus  -  Sport"
"Cyprus",57,"Thriller","Cyprus  -  Thriller"
"Cyprus",4,"War","Cyprus  -  War"
"Cyprus",3,"Western","Cyprus  -  Western"
"Czech Republic",207,"Action","Czech Republic  -  Action"
"Czech Republic",5,"Adult","Czech Republic  -  Adult"
"Czech Republic",151,"Adventure","Czech Republic  -  Adventure"
"Czech Republic",82,"Animation","Czech Republic  -  Animation"
"Czech Republic",13,"Biography","Czech Republic  -  Biography"
"Czech Republic",185,"Comedy","Czech Republic  -  Comedy"
"Czech Republic",140,"Crime","Czech Republic  -  Crime"
"Czech Republic",30,"Documentary","Czech Republic  -  Documentary"
"Czech Republic",294,"Drama","Czech Republic  -  Drama"
"Czech Republic",23,"Family","Czech Republic  -  Family"
"Czech Republic",49,"Fantasy","Czech Republic  -  Fantasy"
"Czech Republic",3,"Film Noir","Czech Republic  -  Film Noir"
"Czech Republic",19,"Game Show","Czech Republic  -  Game Show"
"Czech Republic",3,"History","Czech Republic  -  History"
"Czech Republic",31,"Horror","Czech Republic  -  Horror"
"Czech Republic",4,"Music","Czech Republic  -  Music"
"Czech Republic",55,"Mystery","Czech Republic  -  Mystery"
"Czech Republic",23,"Reality TV","Czech Republic  -  Reality TV"
"Czech Republic",82,"Romance","Czech Republic  -  Romance"
"Czech Republic",15,"Sci Fi","Czech Republic  -  Sci Fi"
"Czech Republic",13,"Sport","Czech Republic  -  Sport"
"Czech Republic",54,"Thriller","Czech Republic  -  Thriller"
"Czech Republic",3,"War","Czech Republic  -  War"
"Czech Republic",3,"Western","Czech Republic  -  Western"
"Denmark",200,"Action","Denmark  -  Action"
"Denmark",125,"Adventure","Denmark  -  Adventure"
"Denmark",57,"Animation","Denmark  -  Animation"
"Denmark",15,"Biography","Denmark  -  Biography"
"Denmark",182,"Comedy","Denmark  -  Comedy"
"Denmark",157,"Crime","Denmark  -  Crime"
"Denmark",26,"Documentary","Denmark  -  Documentary"
"Denmark",318,"Drama","Denmark  -  Drama"
"Denmark",22,"Family","Denmark  -  Family"
"Denmark",42,"Fantasy","Denmark  -  Fantasy"
"Denmark",3,"Film Noir","Denmark  -  Film Noir"
"Denmark",17,"Game Show","Denmark  -  Game Show"
"Denmark",5,"History","Denmark  -  History"
"Denmark",23,"Horror","Denmark  -  Horror"
"Denmark",2,"Music","Denmark  -  Music"
"Denmark",1,"Musical","Denmark  -  Musical"
"Denmark",56,"Mystery","Denmark  -  Mystery"
"Denmark",31,"Reality TV","Denmark  -  Reality TV"
"Denmark",88,"Romance","Denmark  -  Romance"
"Denmark",22,"Sci Fi","Denmark  -  Sci Fi"
"Denmark",10,"Sport","Denmark  -  Sport"
"Denmark",61,"Thriller","Denmark  -  Thriller"
"Denmark",10,"War","Denmark  -  War"
"Denmark",10,"Western","Denmark  -  Western"
"Dominican Republic",178,"Action","Dominican Republic  -  Action"
"Dominican Republic",110,"Adventure","Dominican Republic  -  Adventure"
