"id","n","label","parent"
"total  -  Drama  -  Hong Kong",341,"Hong Kong","total  -  Drama"
"total  -  Horror  -  Hong Kong",42,"Hong Kong","total  -  Horror"
"total  -  Mystery  -  Hong Kong",76,"Hong Kong","total  -  Mystery"
"total  -  Romance  -  Hong Kong",117,"Hong Kong","total  -  Romance"
"total  -  Sci Fi  -  Hong Kong",63,"Hong Kong","total  -  Sci Fi"
"total  -  Thriller  -  Hong Kong",70,"Hong Kong","total  -  Thriller"
"total  -  Action  -  Hungary",206,"Hungary","total  -  Action"
"total  -  Adventure  -  Hungary",127,"Hungary","total  -  Adventure"
"total  -  Animation  -  Hungary",67,"Hungary","total  -  Animation"
"total  -  Comedy  -  Hungary",186,"Hungary","total  -  Comedy"
"total  -  Crime  -  Hungary",160,"Hungary","total  -  Crime"
"total  -  Drama  -  Hungary",317,"Hungary","total  -  Drama"
"total  -  Fantasy  -  Hungary",43,"Hungary","total  -  Fantasy"
"total  -  Mystery  -  Hungary",54,"Hungary","total  -  Mystery"
"total  -  Romance  -  Hungary",110,"Hungary","total  -  Romance"
"total  -  Thriller  -  Hungary",62,"Hungary","total  -  Thriller"
"total  -  Action  -  Iceland",191,"Iceland","total  -  Action"
"total  -  Adventure  -  Iceland",126,"Iceland","total  -  Adventure"
"total  -  Animation  -  Iceland",52,"Iceland","total  -  Animation"
"total  -  Comedy  -  Iceland",195,"Iceland","total  -  Comedy"
"total  -  Crime  -  Iceland",139,"Iceland","total  -  Crime"
"total  -  Drama  -  Iceland",287,"Iceland","total  -  Drama"
"total  -  Mystery  -  Iceland",53,"Iceland","total  -  Mystery"
"total  -  Romance  -  Iceland",84,"Iceland","total  -  Romance"
"total  -  Sci Fi  -  Iceland",43,"Iceland","total  -  Sci Fi"
"total  -  Thriller  -  Iceland",55,"Iceland","total  -  Thriller"
"total  -  Action  -  India",269,"India","total  -  Action"
"total  -  Adventure  -  India",77,"India","total  -  Adventure"
"total  -  Comedy  -  India",177,"India","total  -  Comedy"
"total  -  Crime  -  India",222,"India","total  -  Crime"
"total  -  Drama  -  India",394,"India","total  -  Drama"
"total  -  Fantasy  -  India",42,"India","total  -  Fantasy"
"total  -  Horror  -  India",27,"India","total  -  Horror"
"total  -  Mystery  -  India",83,"India","total  -  Mystery"
"total  -  Romance  -  India",95,"India","total  -  Romance"
"total  -  Thriller  -  India",80,"India","total  -  Thriller"
"total  -  Action  -  Indonesia",231,"Indonesia","total  -  Action"
"total  -  Adventure  -  Indonesia",90,"Indonesia","total  -  Adventure"
"total  -  Comedy  -  Indonesia",175,"Indonesia","total  -  Comedy"
"total  -  Crime  -  Indonesia",149,"Indonesia","total  -  Crime"
"total  -  Drama  -  Indonesia",338,"Indonesia","total  -  Drama"
"total  -  Horror  -  Indonesia",42,"Indonesia","total  -  Horror"
"total  -  Mystery  -  Indonesia",82,"Indonesia","total  -  Mystery"
